GLKbp,GLKbt,GLKrt
96.7,64.8,68.9
95.5,57.4,78.8
77.5,52.7,71
87.5,60.1,64
90.6,64.2,75.5
83.3,61.6,73.8
67.3,56.8,66.6
79.2,59.6,76.8
82.4,60.4,68.9
96.3,50,66
94.7,61,65.4
91,60.7,63
94.2,63.9,77.4
85.9,68.2,71.2
84.3,62.7,65.7
69.6,66.9,70.9
80.9,55.3,75.9
70.5,54.4,64.4
74.2,65.4,73.6
90.7,53.6,69.1
97.5,61.2,72.5
96.9,67.7,68.2
73.1,55.9,74.8
91.7,53.1,60.7
91.5,60.7,70.1
93.2,60.1,73.1
95.3,58,71.1
87.1,57.8,65.6
81,56.8,67.4
92.1,62.5,71.7
83.3,67.8,65.9
88.5,60.2,69.9
93.8,54.8,64.7
89.5,59.5,70.3
87.5,54.7,69.9
94.6,64.5,67.1
77.3,62,NA
96.4,69.5,NA
72.2,64.1,NA
95.5,62,NA
84.4,70.3,NA
95.5,60.4,NA
84.4,63,NA
92.5,59.3,NA
98.9,58.5,NA
72.2,71.1,NA
93.8,66.8,NA
76.6,61.7,NA
76.7,67.8,NA
79.3,70.6,NA
81.6,65.1,NA
96.7,62.9,NA
89.3,64.6,NA
91.2,64.6,NA
97.2,63.7,NA
85.7,66.5,NA
96.9,61.2,NA
94,69,NA
66,65.2,NA
83.9,67.6,NA
84.1,60.8,NA
78.1,70.4,NA
90.6,63.5,NA
90.6,64.8,NA
96.7,61.2,NA
87.5,63.2,NA
86.1,66.3,NA
85.3,70,NA
83.3,63.2,NA
65.4,66.6,NA
88.6,66.6,NA
97.7,63.7,NA
98,61.3,NA
86.5,68.8,NA
94.6,60.9,NA
92.2,66.4,NA
90.6,58.1,NA
94.4,61.3,NA
93.8,66.6,NA
96.3,65.9,NA
96.7,56.1,NA
83.3,55.7,NA
95.6,67.5,NA
78.6,58.4,NA
83.9,68.4,NA
81,65.9,NA
91.9,59.3,NA
94.2,63.9,NA
93.8,62.9,NA
89.1,57.3,NA
76.5,59.2,NA
77.9,59.6,NA
76.7,63.7,NA
80.3,60.6,NA
84.8,55.4,NA
84.4,65.1,NA
73.8,61.6,NA
88.4,59.1,NA
93.6,65.7,NA
92,60.5,NA
92.5,61.7,NA
73.1,62.7,NA
59.1,65.3,NA
63.3,67.5,NA
79.2,56.5,NA
95.8,63.1,NA
80.7,56.6,NA
88.6,59.2,NA
79.6,53.9,NA
68.5,60.7,NA
97.9,59.7,NA
96.4,57.8,NA
94,58.1,NA
97.1,62.8,NA
96.7,58,NA
90,51.2,NA
96.9,63.5,NA
92.5,62.4,NA
81.3,58.4,NA
83.3,57,NA
72.6,59.5,NA
89.8,56.8,NA
88.1,59.5,NA
72.5,56.4,NA
81.1,60.8,NA
83.3,63.2,NA
88.8,51.8,NA
92.4,62,NA
79.2,56.3,NA
94.2,58.3,NA
90.6,57.1,NA
93.2,61,NA
96.7,55.7,NA
90,60.3,NA
97.1,72,NA
75,63.2,NA
90.4,67.8,NA
67.6,64.6,NA
80.6,61.8,NA
77.3,63,NA
85.3,56.1,NA
81.3,65.9,NA
91.7,59,NA
75,57.1,NA
91.9,61.8,NA
91.9,64.1,NA
74,64.8,NA
71.9,64.3,NA
73.1,64.6,NA
71.1,66,NA
91.1,59.9,NA
78.4,65.2,NA
52.6,60.7,NA
97.2,70.7,NA
88.3,62,NA
89.3,65.8,NA
79.5,59.3,NA
89.1,56.6,NA
67.2,67.1,NA
77.5,61.1,NA
78.1,60.3,NA
83.3,60.2,NA
87.5,61,NA
85,69.5,NA
80.8,62.4,NA
73.8,60.8,NA
63.8,70.2,NA
81.7,58.8,NA
65.4,57.7,NA
67.3,60.5,NA
61,61,NA
76.3,67.5,NA
86.4,60.8,NA
85,53.6,NA
61.8,62.4,NA
87.5,62.4,NA
91.2,61.5,NA
86,66.5,NA
79.2,59.2,NA
89.6,61.3,NA
97.1,59.7,NA
97.1,63.8,NA
89.3,54.9,NA
96.2,63.6,NA
80.8,58.8,NA
75,65.3,NA
83.3,56.7,NA
83.3,57.2,NA
90.7,64.5,NA
95.8,57.7,NA
78.6,63.7,NA
83.3,53.6,NA
89.6,64,NA
88,68.5,NA
78.4,62.9,NA
79.3,62.3,NA
78.8,60.9,NA
89.7,62.2,NA
87.1,63,NA
77.8,64.4,NA
80.3,63.9,NA
76.7,60.1,NA
93.5,58.6,NA
82.4,64.6,NA
86.8,65.1,NA
97.6,56.3,NA
80.9,64.7,NA
74.2,60,NA
68.2,67.5,NA
95,58.9,NA
75,57.5,NA
86.4,62.6,NA
79.2,54.9,NA
70,68.2,NA
87.5,64.9,NA
89.3,60.1,NA
79.4,58.4,NA
78.2,64,NA
85.9,62,NA
89.7,58.9,NA
83.3,63.2,NA
73.2,53.7,NA
75,63.7,NA
87,56.7,NA
75,64.1,NA
96.7,58.6,NA
88.5,63,NA
95,57.1,NA
97.1,74.2,NA
95.2,64,NA
91.7,57.6,NA
91.5,69.3,NA
92.6,66.3,NA
86.3,59.9,NA
97.2,70.2,NA
83.3,62.9,NA
86.9,61.7,NA
90,63.1,NA
86.5,60,NA
93.8,64.1,NA
82.6,61.9,NA
85.4,62.8,NA
89.7,71.4,NA
89.1,59.6,NA
80.3,64.4,NA
89.1,64,NA
80.9,57.7,NA
77.9,64.6,NA
92.1,56.6,NA
78.1,68.9,NA
84.4,67.4,NA
82.1,62.3,NA
89.3,55.4,NA
92.5,55.1,NA
82.1,54.9,NA
79.5,63.8,NA
92.9,60.6,NA
75,60.4,NA
NA,59,NA
NA,59.5,NA
NA,59.8,NA
NA,65.2,NA
NA,61.4,NA
NA,62,NA
NA,56.6,NA
NA,65.4,NA
NA,64.6,NA
NA,59.6,NA
NA,59.4,NA
NA,62,NA
NA,58,NA
NA,62.3,NA
NA,60.4,NA
NA,53.8,NA
NA,58.2,NA
NA,60.9,NA
NA,54.5,NA
NA,59.8,NA
NA,61.4,NA
NA,66.9,NA
NA,57.9,NA
NA,57.7,NA
NA,62.7,NA
NA,62.8,NA
NA,60.9,NA
NA,62.1,NA
NA,55.9,NA
NA,62.1,NA
NA,60.1,NA
