OLPbp,OLPbt,OLPrt
61,169,169
33,168,205
20,168,226
12,169,229
16,169,243
18,168,227
26,168,208
53,167,213
34,169,188
41,166,169
76,164,166
50,168,165
26,169,226
32,168,212
35,169,197
28,169,170
34,169,170
39,169,209
33,169,235
27,169,202
20,169,216
16,167,247
13,169,210
42,114,192
41,169,169
37,169,188
32,169,209
35,167,195
29,168,167
19,164,196
15,169,207
13,167,256
8,167,197
19,169,204
28,169,244
28,204,211
11,204,NA
14,205,NA
9,205,NA
11,204,NA
16,204,NA
11,188,NA
16,169,NA
20,166,NA
45,164,NA
18,204,NA
40,205,NA
47,197,NA
43,169,NA
41,170,NA
19,205,NA
15,205,NA
14,202,NA
17,205,NA
18,205,NA
14,203,NA
16,192,NA
25,150,NA
25,188,NA
28,205,NA
22,194,NA
16,167,NA
16,196,NA
16,200,NA
15,205,NA
12,197,NA
18,203,NA
17,205,NA
9,205,NA
13,226,NA
22,226,NA
22,226,NA
25,208,NA
26,213,NA
28,188,NA
32,168,NA
16,166,NA
9,163,NA
24,226,NA
40,211,NA
15,197,NA
21,168,NA
57,169,NA
21,208,NA
28,226,NA
29,201,NA
31,215,NA
26,226,NA
24,210,NA
23,191,NA
34,169,NA
34,187,NA
45,208,NA
33,193,NA
23,167,NA
32,196,NA
21,207,NA
56,226,NA
39,197,NA
25,204,NA
20,226,NA
13,208,NA
11,229,NA
15,226,NA
12,208,NA
59,213,NA
44,188,NA
35,168,NA
27,166,NA
27,163,NA
24,226,NA
14,211,NA
25,197,NA
17,168,NA
15,169,NA
25,208,NA
16,229,NA
40,201,NA
8,215,NA
27,229,NA
31,210,NA
44,191,NA
42,169,NA
20,187,NA
37,208,NA
27,193,NA
49,167,NA
33,196,NA
12,207,NA
26,229,NA
16,197,NA
22,204,NA
15,229,NA
15,208,NA
52,227,NA
18,208,NA
52,213,NA
34,188,NA
18,169,NA
11,166,NA
17,164,NA
24,226,NA
18,212,NA
22,197,NA
31,169,NA
31,170,NA
25,209,NA
16,235,NA
13,202,NA
19,216,NA
84,243,NA
58,210,NA
38,192,NA
36,169,NA
30,188,NA
14,209,NA
44,194,NA
23,167,NA
29,196,NA
20,207,NA
16,243,NA
15,197,NA
12,204,NA
10,243,NA
13,209,NA
21,208,NA
29,213,NA
30,188,NA
39,169,NA
49,166,NA
68,164,NA
19,226,NA
11,212,NA
10,197,NA
17,169,NA
20,170,NA
17,209,NA
25,227,NA
12,202,NA
24,216,NA
17,227,NA
17,210,NA
14,192,NA
13,169,NA
13,188,NA
10,209,NA
9,194,NA
9,167,NA
27,196,NA
12,207,NA
28,227,NA
42,197,NA
53,204,NA
54,227,NA
44,209,NA
41,208,NA
26,188,NA
34,168,NA
35,166,NA
45,163,NA
38,208,NA
45,208,NA
54,197,NA
37,168,NA
34,169,NA
21,208,NA
34,208,NA
33,201,NA
11,208,NA
10,208,NA
14,207,NA
11,191,NA
12,154,NA
15,187,NA
20,208,NA
14,193,NA
17,167,NA
39,196,NA
39,204,NA
39,208,NA
36,197,NA
28,204,NA
30,208,NA
50,208,NA
22,188,NA
15,168,NA
13,166,NA
10,163,NA
17,213,NA
52,211,NA
18,197,NA
41,168,NA
101,169,NA
62,208,NA
53,213,NA
51,201,NA
42,213,NA
35,213,NA
26,210,NA
24,191,NA
23,159,NA
24,187,NA
34,208,NA
23,193,NA
33,167,NA
32,196,NA
34,207,NA
34,213,NA
19,197,NA
16,204,NA
16,213,NA
14,208,NA
14,167,NA
20,166,NA
14,162,NA
22,188,NA
21,188,NA
10,188,NA
NA,167,NA
NA,168,NA
NA,188,NA
NA,188,NA
NA,188,NA
NA,188,NA
NA,188,NA
NA,188,NA
NA,188,NA
NA,135,NA
NA,186,NA
NA,188,NA
NA,188,NA
NA,166,NA
NA,188,NA
NA,185,NA
NA,188,NA
NA,188,NA
NA,188,NA
NA,188,NA
NA,188,NA
NA,166,NA
NA,164,NA
NA,168,NA
NA,169,NA
NA,168,NA
NA,169,NA
NA,169,NA
NA,169,NA
NA,169,NA
NA,169,NA
NA,169,NA
NA,169,NA
NA,167,NA
NA,169,NA
NA,114,NA
NA,169,NA
NA,169,NA
NA,169,NA
NA,167,NA
NA,168,NA
NA,164,NA
NA,169,NA
NA,167,NA
NA,167,NA
NA,169,NA
NA,169,NA
NA,161,NA
NA,166,NA
NA,166,NA
NA,166,NA
NA,166,NA
NA,166,NA
NA,166,NA
NA,166,NA
NA,166,NA
NA,166,NA
NA,166,NA
NA,166,NA
NA,166,NA
NA,114,NA
NA,166,NA
NA,166,NA
NA,166,NA
NA,165,NA
NA,166,NA
NA,164,NA
NA,166,NA
NA,166,NA
NA,166,NA
NA,166,NA
NA,166,NA
NA,163,NA
NA,164,NA
NA,163,NA
NA,165,NA
NA,164,NA
NA,164,NA
NA,164,NA
NA,164,NA
NA,164,NA
NA,165,NA
NA,162,NA
NA,164,NA
NA,109,NA
NA,164,NA
NA,164,NA
NA,165,NA
NA,163,NA
NA,163,NA
NA,159,NA
NA,164,NA
NA,162,NA
NA,162,NA
NA,165,NA
NA,165,NA
NA,211,NA
NA,197,NA
NA,168,NA
NA,169,NA
NA,208,NA
NA,226,NA
NA,201,NA
NA,215,NA
NA,226,NA
NA,210,NA
NA,191,NA
NA,169,NA
NA,187,NA
NA,208,NA
NA,193,NA
NA,167,NA
NA,196,NA
NA,207,NA
NA,226,NA
NA,197,NA
NA,204,NA
NA,226,NA
NA,208,NA
NA,197,NA
NA,169,NA
NA,170,NA
NA,209,NA
NA,212,NA
NA,202,NA
NA,212,NA
NA,212,NA
NA,210,NA
NA,192,NA
NA,157,NA
NA,188,NA
NA,209,NA
NA,194,NA
NA,167,NA
NA,196,NA
NA,207,NA
NA,212,NA
NA,197,NA
NA,204,NA
NA,212,NA
NA,209,NA
NA,168,NA
NA,169,NA
NA,197,NA
NA,197,NA
NA,197,NA
NA,197,NA
NA,197,NA
NA,196,NA
NA,191,NA
NA,143,NA
NA,187,NA
NA,197,NA
NA,193,NA
NA,167,NA
NA,196,NA
NA,193,NA
NA,197,NA
NA,196,NA
NA,196,NA
NA,197,NA
NA,197,NA
NA,169,NA
NA,169,NA
NA,169,NA
NA,169,NA
NA,169,NA
NA,170,NA
NA,167,NA
NA,169,NA
NA,114,NA
NA,169,NA
NA,169,NA
NA,170,NA
NA,167,NA
NA,168,NA
NA,164,NA
NA,169,NA
NA,167,NA
NA,167,NA
NA,170,NA
NA,170,NA
NA,170,NA
NA,170,NA
NA,170,NA
NA,170,NA
NA,170,NA
NA,168,NA
NA,170,NA
NA,115,NA
NA,170,NA
NA,170,NA
NA,170,NA
NA,167,NA
NA,169,NA
NA,165,NA
NA,170,NA
NA,168,NA
NA,168,NA
NA,170,NA
NA,170,NA
NA,209,NA
NA,202,NA
NA,209,NA
NA,209,NA
NA,207,NA
NA,192,NA
NA,154,NA
NA,188,NA
NA,209,NA
NA,194,NA
NA,167,NA
NA,196,NA
NA,204,NA
NA,209,NA
NA,197,NA
NA,204,NA
NA,209,NA
NA,209,NA
NA,202,NA
NA,216,NA
NA,235,NA
NA,210,NA
NA,192,NA
NA,169,NA
NA,188,NA
NA,209,NA
NA,194,NA
NA,167,NA
NA,196,NA
NA,207,NA
NA,235,NA
NA,197,NA
NA,204,NA
NA,235,NA
NA,209,NA
NA,202,NA
NA,202,NA
NA,200,NA
NA,192,NA
NA,147,NA
NA,188,NA
NA,202,NA
NA,194,NA
NA,167,NA
NA,196,NA
NA,197,NA
NA,202,NA
NA,197,NA
NA,200,NA
NA,202,NA
NA,202,NA
NA,216,NA
NA,210,NA
NA,192,NA
NA,161,NA
NA,188,NA
NA,209,NA
NA,194,NA
NA,167,NA
NA,196,NA
NA,207,NA
NA,216,NA
NA,197,NA
NA,204,NA
NA,216,NA
NA,209,NA
NA,210,NA
NA,192,NA
NA,169,NA
NA,188,NA
NA,209,NA
NA,195,NA
NA,167,NA
NA,196,NA
NA,207,NA
NA,246,NA
NA,197,NA
NA,204,NA
NA,244,NA
NA,210,NA
NA,190,NA
NA,157,NA
NA,186,NA
NA,207,NA
NA,192,NA
NA,166,NA
NA,195,NA
NA,207,NA
NA,210,NA
NA,197,NA
NA,204,NA
NA,210,NA
NA,207,NA
NA,137,NA
NA,188,NA
NA,192,NA
NA,192,NA
NA,167,NA
NA,191,NA
NA,187,NA
NA,192,NA
NA,190,NA
NA,190,NA
NA,192,NA
NA,192,NA
NA,133,NA
NA,154,NA
NA,139,NA
NA,113,NA
NA,142,NA
NA,157,NA
NA,169,NA
NA,144,NA
NA,151,NA
NA,169,NA
NA,154,NA
NA,188,NA
NA,188,NA
NA,167,NA
NA,187,NA
NA,183,NA
NA,188,NA
NA,186,NA
NA,186,NA
NA,188,NA
NA,188,NA
NA,194,NA
NA,167,NA
NA,196,NA
NA,204,NA
NA,209,NA
NA,197,NA
NA,204,NA
NA,209,NA
NA,209,NA
NA,167,NA
NA,193,NA
NA,189,NA
NA,194,NA
NA,192,NA
NA,192,NA
NA,195,NA
NA,195,NA
NA,167,NA
NA,163,NA
NA,167,NA
NA,166,NA
NA,166,NA
NA,167,NA
NA,167,NA
NA,192,NA
NA,196,NA
NA,195,NA
NA,195,NA
NA,196,NA
NA,196,NA
NA,207,NA
NA,194,NA
NA,201,NA
NA,207,NA
NA,204,NA
NA,197,NA
NA,204,NA
NA,243,NA
NA,209,NA
NA,197,NA
NA,197,NA
NA,197,NA
NA,204,NA
NA,204,NA
NA,210,NA
