OLPbi,OLPbt,OLPbrt,TBPbi,THObi,TBPbt,THObt,TBPbrt,THObrt,GLKbp,GLKbt,GLKbrt
61,169,169,23.9,25.7,4.17,4.97,9.09,9.23,96.7,64.8,68.9
33,168,205,24.3,25.6,3.66,3.28,13.6,15.1,95.5,57.4,78.8
20,168,226,10.6,10.9,3.92,3.18,11.1,11.8,77.5,52.7,71
12,169,229,6.64,6.54,2.38,2.65,10.8,11.6,87.5,60.1,64
16,169,243,10.6,7.22,5.58,5.77,11.7,12.2,90.6,64.2,75.5
18,168,227,12.7,11.9,4.35,5.4,12.9,14.2,83.3,61.6,73.8
26,168,208,7.07,8.34,3.21,3.21,14.6,14.5,67.3,56.8,66.6
53,167,213,20.1,20.9,3.49,2.88,13.3,14.8,79.2,59.6,76.8
34,169,188,17.1,19,4.74,4.47,6.84,5.81,82.4,60.4,68.9
41,166,169,37.6,22.3,5.38,4.84,9.1,8.45,96.3,50,66
76,164,166,28.8,27.4,4.97,4.23,8.89,9.19,94.7,61,65.4
50,168,165,20.8,19.4,2.32,3.46,5.91,6.22,91,60.7,63
26,169,226,25.4,17.5,4.87,5.58,12.2,13.3,94.2,63.9,77.4
32,168,212,15.2,23.2,7.74,7.43,12.7,12.7,85.9,68.2,71.2
35,169,197,11.9,11.4,7.02,7.72,9.32,10,84.3,62.7,65.7
28,169,170,6.61,8.21,3.68,3.9,11.4,13.2,69.6,66.9,70.9
34,169,170,9.5,10.3,1.82,2.34,11.3,12.1,80.9,55.3,75.9
39,169,209,6.38,6.56,2.6,2.33,8.36,9.04,70.5,54.4,64.4
33,169,235,9.24,12,3.16,3.89,12,12.2,74.2,65.4,73.6
27,169,202,10.7,15.5,4.01,3.87,10.6,11.6,90.7,53.6,69.1
20,169,216,11.7,11.7,6.88,6.41,11.1,11.8,97.5,61.2,72.5
16,167,247,15.1,13,4.22,4.03,13.9,14.1,96.9,67.7,68.2
13,169,210,7.22,4.66,3.67,3.69,11.7,11.3,73.1,55.9,74.8
42,114,192,15.3,13.3,3.73,3.19,7.85,6.74,91.7,53.1,60.7
41,169,169,24.3,19.7,4.06,3.97,12.4,11.7,91.5,60.7,70.1
37,169,188,28.8,31.8,3.98,4.58,11.8,11,93.2,60.1,73.1
32,169,209,23.5,27.4,2.95,3.33,12.9,13,95.3,58,71.1
35,167,195,22.2,21.8,2.69,3.32,7.95,7.37,87.1,57.8,65.6
29,168,167,15.7,15.6,3.89,4.1,6.95,7.17,81,56.8,67.4
19,164,196,13.8,37.4,3.25,3.69,13.5,13.6,92.1,62.5,71.7
15,169,207,6.41,6.01,5.06,5.24,7.44,6.99,83.3,67.8,65.9
13,167,256,5.04,5.83,4.54,4.91,14.2,13.5,88.5,60.2,69.9
8,167,197,21.3,7.63,3.83,4.03,10.1,9.89,93.8,54.8,64.7
19,169,204,11,13,2.14,2.76,12.6,11.8,89.5,59.5,70.3
28,169,244,28.7,18,2.77,2.41,10.5,12.5,87.5,54.7,69.9
28,204,211,10.4,10.5,7.73,7.52,8.02,7.83,94.6,64.5,67.1
11,204,NA,8.88,6.02,6.64,6.76,NA,NA,77.3,62,NA
14,205,NA,13.9,12.6,7.71,7.66,NA,NA,96.4,69.5,NA
9,205,NA,2.95,3.13,6.26,7.09,NA,NA,72.2,64.1,NA
11,204,NA,5.04,5.94,7.68,8.48,NA,NA,95.5,62,NA
16,204,NA,32.4,14.8,8.11,9.12,NA,NA,84.4,70.3,NA
11,188,NA,10.6,7.34,4.63,4.02,NA,NA,95.5,60.4,NA
16,169,NA,11.5,7.33,7.72,7.36,NA,NA,84.4,63,NA
20,166,NA,24.1,19.9,5.92,5.86,NA,NA,92.5,59.3,NA
45,164,NA,45,38.6,4.1,4.57,NA,NA,98.9,58.5,NA
18,204,NA,15.7,13.5,10,11.4,NA,NA,72.2,71.1,NA
40,205,NA,14.5,14.4,8.04,8.41,NA,NA,93.8,66.8,NA
