d,res,pw,FSx,Fsy
150,5832,0.004,35.957,23.971
170,4623,0.005,45.361,30.24
190,3906,0.007,53.687,35.792
210,3416,0.007,61.388,40.926
230,3047,0.008,68.823,45.882
250,2744,0.009,76.422,50.948
270,2504,0.01,83.747,55.831
290,2291,0.011,91.533,61.022
310,2124,0.012,98.73,65.82
330,1982,0.013,105.803,70.536
350,1855,0.014,113.047,75.365
450,1414,0.018,148.304,98.87
550,1146,0.022,182.986,121.991
650,963,0.026,217.76,145.173
750,828,0.031,253.264,168.843
850,729,0.035,287.658,191.772
910,678,0.037,309.296,206.197
930,664,0.038,315.817,210.545
950,650,0.039,322.619,215.079
970,638,0.04,328.687,219.125
990,624,0.041,336.062,224.041
