# AF-S MICRO NIKKOR 85 mm 1:3.5G ED,,,,
# 距離,解像度（ppi）,精度（mm/pix）,X (mm),Y (mm)
135,6185,0.004,33.905,22.603
155,4624,0.005,45.351,30.234
175,3851,0.007,54.454,36.303
195,3283,0.008,63.875,42.583
215,2884,0.009,72.712,48.475
235,2572,0.01,81.533,54.355
255,2313,0.011,90.663,60.442
275,2114,0.012,99.197,66.131
295,1941,0.013,108.038,72.026
315,1801,0.014,116.437,77.624
335,1686,0.015,124.379,82.919
355,1567,0.016,133.824,89.216
375,1473,0.017,142.364,94.909
395,1398,0.018,150.002,100.001
415,1322,0.019,158.625,105.75
435,1259,0.02,166.563,111.042
455,1196,0.021,175.336,116.891
475,1135,0.022,184.76,123.173
495,1085,0.023,193.274,128.849
